panel,detector,budget,max_events_ratio,max_tiw_ratio,frac_violate_events,frac_violate_tiw,pass_rate,frac_violate_any,n_windows
all_only,factor_cov_lrt,0.5,0.6666666666666666,0.7407407407407407,0.0,0.0,1.0,0.0,3
all_only,factor_cov_lrt,0.75,0.4444444444444444,0.925925925925926,0.0,0.0,1.0,0.0,3
all_only,factor_cov_lrt,1.0,1.0,2.2222222222222223,0.0,1.0,0.0,1.0,3
all_only,factor_cov_lrt,1.25,0.8,2.2222222222222223,0.0,1.0,0.0,1.0,3
all_only,factor_cov_lrt,1.5,0.6666666666666666,2.2222222222222223,0.0,1.0,0.0,1.0,3
all_only,factor_cov_lrt,2.0,0.5,2.2222222222222223,0.0,1.0,0.0,1.0,3
all_only,factor_cov_lrt_delta,0.25,1.3333333333333333,0.37037037037037035,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_lrt_delta,0.5,2.6666666666666665,1.2962962962962963,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_lrt_delta,0.75,1.7777777777777777,1.4814814814814814,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_lrt_delta,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,factor_cov_lrt_delta,1.25,1.6,2.2222222222222223,0.6666666666666666,1.0,0.0,1.0,3
all_only,factor_cov_lrt_delta,1.5,1.3333333333333333,2.2222222222222223,0.6666666666666666,1.0,0.0,1.0,3
all_only,factor_cov_lrt_delta,2.0,1.0,2.2222222222222223,0.0,1.0,0.0,1.0,3
all_only,fused_fisher,0.25,4.0,1.6666666666666667,1.0,0.3333333333333333,0.0,1.0,3
all_only,fused_fisher,0.5,2.0,2.4074074074074074,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,fused_fisher,0.75,1.7777777777777777,2.5925925925925926,1.0,0.6666666666666666,0.0,1.0,3
all_only,fused_fisher,1.0,1.6666666666666667,3.703703703703704,1.0,1.0,0.0,1.0,3
all_only,fused_fisher,1.25,1.3333333333333335,3.703703703703704,0.3333333333333333,1.0,0.0,1.0,3
all_only,fused_fisher,1.5,1.1111111111111112,3.703703703703704,0.3333333333333333,1.0,0.0,1.0,3
all_only,fused_fisher,2.0,0.8333333333333334,3.703703703703704,0.0,1.0,0.0,1.0,3
all_only,fused_fisher_lrt_delta,0.25,2.6666666666666665,0.7407407407407407,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,3
all_only,fused_fisher_lrt_delta,0.5,2.6666666666666665,2.4074074074074074,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,fused_fisher_lrt_delta,0.75,1.7777777777777777,2.4074074074074074,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,fused_fisher_lrt_delta,1.0,2.0,3.1481481481481484,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,fused_fisher_lrt_delta,1.25,1.3333333333333335,3.703703703703704,0.6666666666666666,1.0,0.0,1.0,3
all_only,fused_fisher_lrt_delta,1.5,1.1111111111111112,3.703703703703704,0.6666666666666666,1.0,0.0,1.0,3
all_only,fused_fisher_lrt_delta,2.0,0.8333333333333334,3.703703703703704,0.0,1.0,0.0,1.0,3
all_only,fused_sp,0.25,2.6666666666666665,2.037037037037037,1.0,0.6666666666666666,0.0,1.0,3
all_only,fused_sp,0.5,2.6666666666666665,2.5925925925925926,1.0,1.0,0.0,1.0,3
all_only,fused_sp,0.75,2.2222222222222223,3.703703703703704,1.0,1.0,0.0,1.0,3
all_only,fused_sp,1.0,1.6666666666666667,3.8888888888888893,0.6666666666666666,1.0,0.0,1.0,3
all_only,fused_sp,1.25,1.3333333333333335,4.444444444444445,0.3333333333333333,1.0,0.0,1.0,3
all_only,fused_sp,1.5,1.1111111111111112,4.444444444444445,0.3333333333333333,1.0,0.0,1.0,3
all_only,fused_sp,2.0,0.8333333333333334,4.444444444444445,0.0,1.0,0.0,1.0,3
all_only,fused_sp_lrt_delta,0.25,2.6666666666666665,1.4814814814814814,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,3
all_only,fused_sp_lrt_delta,0.5,2.6666666666666665,2.4074074074074074,1.0,0.6666666666666666,0.0,1.0,3
all_only,fused_sp_lrt_delta,0.75,1.7777777777777777,2.4074074074074074,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,3
all_only,fused_sp_lrt_delta,1.0,1.6666666666666667,2.777777777777778,0.6666666666666666,0.6666666666666666,0.0,1.0,3
all_only,fused_sp_lrt_delta,1.25,1.3333333333333335,3.1481481481481484,0.3333333333333333,1.0,0.0,1.0,3
all_only,fused_sp_lrt_delta,1.5,1.1111111111111112,3.1481481481481484,0.3333333333333333,1.0,0.0,1.0,3
