kind,panel,detector,paper_strength_policy,attack_strength_selected,attack_strength_selected_is_applicable,budget_target_paper,budget_nominal_selected,matched_mode,matched_budget_band,matched_tol_budget,tiw_cap,matched_tol_tiw,years_eval_median,target_count_nearest,count_band_width,implied_rate_nearest,n_trials_total,n_trials_budget_in_band,n_trials_joint_in_band,n_trials_primary,coverage_budget,coverage_joint,coverage_primary,primary_status,n_trials,detect_rate,detect_rate_null,uplift_detect_rate,event_success_rate,event_timely_sla_rate,event_anywarn_success_rate,event_anywarn_timely_sla_rate,event_preexisting_warning_rate,contract_pass_full_rate,contract_pass_full_anywarn_rate,event_sla_months,median_delay,median_delay_null,delay_p50,delay_p90,delay_null_p50,delay_null_p90,event_delay_p50,event_delay_p90,event_time_to_trigger_p50,event_time_to_trigger_p90,median_delay_uncens,median_delay_null_uncens,mean_false_alarm_months_per_year,mean_false_alert_events_per_year,mean_time_in_warning,mean_p_star,mean_effect_size,mean_fae_null,mean_tiw_null,mean_cad_win,mean_cad_post,mean_dtiw_win,mean_abs_dtiw_win,mean_dtiw_post,nc2_p0,p_hat,p_binom,nc2_pass,nc2_alpha,row_status,infeasible_reason
corr_mix,score_only,factor_cov_change,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,score_only,factor_cov_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,61,14,61,0.7625,0.175,0.7625,OK,61.0,0.11475409836065574,0.11475409836065574,0.0,0.22950819672131148,0.16393442622950818,0.22950819672131148,0.16393442622950818,0.11475409836065574,0.16393442622950818,0.16393442622950818,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.6998304126625214,0.827586206896552,0.2249858677218768,0.10858180188369637,0.25781110133305163,0.827586206896552,0.2249858677218768,0.0,0.0,0.0,0.0,0.0,0.11475409836065574,0.11475409836065574,0.5594397565107765,0.0,0.05,OK,
corr_mix,score_only,factor_cov_lrt,INFEASIBLE,0.5,INFEASIBLE,1.0,INFEASIBLE,budget_only,count,0.1,INFEASIBLE,INFEASIBLE,INFEASIBLE,5,1,1.0344827586206897,80,INFEASIBLE,INFEASIBLE,0,INFEASIBLE,INFEASIBLE,0.0,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,no_trials_in_matched_band
corr_mix,score_only,factor_cov_lrt_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,37,80,1.0,0.4625,1.0,OK,80.0,0.4375,0.45,-0.012500000000000011,0.5375,0.3,0.5375,0.3,0.15,0.225,0.225,1.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,2.0,2.0,2.6586206896551725,1.1508620689655173,0.22155172413793106,0.20608548160170487,0.08485302557559785,1.1327586206896552,0.21853448275862072,0.039583333333333325,0.012658227848101266,-0.010416666666666666,0.03958333333333334,0.004219409282700422,0.45,0.4375,0.6305975708071209,0.0,0.05,OK,
corr_mix,score_only,fused_fisher,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,41,41,41,0.5125,0.5125,0.5125,OK,41.0,1.0,1.0,0.0,1.0,0.4146341463414634,1.0,0.4146341463414634,0.0975609756097561,0.07317073170731707,0.07317073170731707,1.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,2.0,2.1244743481917583,1.2262405382674517,0.1770395290159798,0.024705339435926996,0.30555707541386334,1.2262405382674517,0.1770395290159798,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05,OK,
corr_mix,score_only,fused_fisher_lrt_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,58,8,58,0.725,0.1,0.725,OK,58.0,0.2413793103448276,0.034482758620689655,0.20689655172413796,0.3448275862068966,0.10344827586206896,0.3448275862068966,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.5,2.0,2.771700356718193,0.8347205707491083,0.23097502972651607,0.0384553032745125,-0.08761637647525258,0.8275862068965518,0.2303804994054697,0.034482758620689655,0.005847953216374269,0.034482758620689655,0.034482758620689655,0.005847953216374269,0.034482758620689655,0.2413793103448276,8.121063392526852e-09,1.0,0.05,OK,
corr_mix,score_only,fused_sp,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,55,6,55,0.6875,0.075,0.6875,OK,55.0,0.01818181818181818,0.01818181818181818,0.0,0.10909090909090909,0.09090909090909091,0.10909090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.6219435736677097,0.8275862068965522,0.21849529780564259,0.0052101287807028865,0.022171676334911614,0.8275862068965522,0.21849529780564259,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.01818181818181818,0.635490486140593,0.0,0.05,OK,
corr_mix,score_only,fused_sp_lrt_delta,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,55,6,55,0.6875,0.075,0.6875,OK,55.0,0.01818181818181818,0.01818181818181818,0.0,0.10909090909090909,0.09090909090909091,0.10909090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.6219435736677097,0.8275862068965522,0.21849529780564259,0.0057670963645679385,-0.01292682126663817,0.8275862068965522,0.21849529780564259,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.01818181818181818,0.635490486140593,0.0,0.05,OK,
corr_mix,score_only,max_abs,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,80,9,80,1.0,0.1125,1.0,OK,80.0,0.4125,0.4125,0.0,0.5125,0.2875,0.5125,0.2875,0.2125,0.1125,0.1125,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,3.0543103448275857,0.9568965517241381,0.25452586206896555,0.08063935166261209,0.25628060992118046,0.9568965517241381,0.25452586206896555,0.0,0.0,0.0,0.0,0.0,0.4125,0.4125,0.5425478392637572,0.0,0.05,OK,
corr_mix,score_only,pc_t2,max,0.5,1,1.0,1.0,budget_only,count,0.1,0.2,0.1,4.833333333333333,5,1,1.0344827586206897,80,58,8,58,0.725,0.1,0.725,OK,58.0,0.06896551724137931,0.06896551724137931,0.0,0.13793103448275862,0.08620689655172414,0.13793103448275862,0.08620689655172414,0.06896551724137931,0.08620689655172414,0.08620689655172414,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.582639714625445,0.8275862068965518,0.21521997621878708,0.010418957529881336,-0.011883340022924353,0.8275862068965518,0.21521997621878708,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.5735317465540412,0.0,0.05,OK,
